Vendor,Month,Mon,Unit,Test_Time,Delay,Resistance,Result,Fail
ChiTronix Components,2,2008-02,7,07FEB2008:00:00:00,167,15.74,Pass,0
ChiTronix Components,2,2008-02,8,08FEB2008:00:00:00,181,14.89,Pass,0
ChiTronix Components,2,2008-02,9,09FEB2008:00:00:00,173,15.24,Pass,0
ChiTronix Components,2,2008-02,10,10FEB2008:00:00:00,169,15.77,Pass,0
ChiTronix Components,2,2008-02,11,11FEB2008:00:00:00,218,18.73,Pass,0
ChiTronix Components,2,2008-02,12,12FEB2008:00:00:00,183,15.77,Pass,0
ChiTronix Components,2,2008-02,13,13FEB2008:00:00:00,210,19.01,Pass,0
ChiTronix Components,2,2008-02,14,14FEB2008:00:00:00,191,17.93,Pass,0
ChiTronix Components,2,2008-02,15,15FEB2008:00:00:00,186,17.09,Pass,0
ChiTronix Components,2,2008-02,16,16FEB2008:00:00:00,174,16.45,Pass,0
ChiTronix Components,2,2008-02,17,17FEB2008:00:00:00,195,16.42,Pass,0
ChiTronix Components,2,2008-02,18,18FEB2008:00:00:00,195,16.97,Pass,0
ChiTronix Components,2,2008-02,19,19FEB2008:00:00:00,188,16.96,Pass,0
ChiTronix Components,2,2008-02,20,20FEB2008:00:00:00,179,16.90,Pass,0
ChiTronix Components,3,2008-03,1,01MAR2008:00:00:00,172,15.92,Pass,0
ChiTronix Components,3,2008-03,2,02MAR2008:00:00:00,203,19.16,Pass,0
ChiTronix Components,3,2008-03,3,03MAR2008:00:00:00,186,16.45,Pass,0
ChiTronix Components,3,2008-03,4,04MAR2008:00:00:00,225,21.23,Pass,0
ChiTronix Components,3,2008-03,5,05MAR2008:00:00:00,204,18.80,Pass,0
ChiTronix Components,3,2008-03,6,06MAR2008:00:00:00,174,15.14,Pass,0
ChiTronix Components,3,2008-03,7,07MAR2008:00:00:00,205,17.28,Pass,0
ChiTronix Components,3,2008-03,8,08MAR2008:00:00:00,244,22.09,Pass,0
ChiTronix Components,3,2008-03,9,09MAR2008:00:00:00,217,18.59,Pass,0
ChiTronix Components,3,2008-03,10,10MAR2008:00:00:00,187,14.98,Pass,0
ChiTronix Components,3,2008-03,11,11MAR2008:00:00:00,175,14.62,Pass,0
ChiTronix Components,3,2008-03,12,12MAR2008:00:00:00,203,19.22,Pass,0
ChiTronix Components,3,2008-03,13,13MAR2008:00:00:00,201,17.04,Pass,0
ChiTronix Components,3,2008-03,14,14MAR2008:00:00:00,161,13.14,Pass,0
ChiTronix Components,3,2008-03,15,15MAR2008:00:00:00,186,18.61,Pass,0
ChiTronix Components,3,2008-03,16,16MAR2008:00:00:00,200,18.39,Pass,0
ChiTronix Components,3,2008-03,17,17MAR2008:00:00:00,186,15.94,Pass,0
ChiTronix Components,3,2008-03,18,18MAR2008:00:00:00,185,15.64,Pass,0
ChiTronix Components,3,2008-03,19,19MAR2008:00:00:00,180,17.62,Pass,0
ChiTronix Components,3,2008-03,20,20MAR2008:00:00:00,223,20.84,Pass,0
ChiTronix Components,3,2008-03,21,21MAR2008:00:00:00,212,17.56,Pass,0
ChiTronix Components,3,2008-03,22,22MAR2008:00:00:00,206,18.79,Pass,0
ChiTronix Components,3,2008-03,23,23MAR2008:00:00:00,219,20.61,Pass,0
ChiTronix Components,4,2008-04,1,01APR2008:00:00:00,201,19.61,Pass,0
ChiTronix Components,4,2008-04,2,02APR2008:00:00:00,178,16.31,Pass,0
ChiTronix Components,4,2008-04,3,03APR2008:00:00:00,199,18.48,Pass,0
ChiTronix Components,4,2008-04,4,04APR2008:00:00:00,218,20.08,Pass,0
ChiTronix Components,4,2008-04,5,05APR2008:00:00:00,187,16.41,Pass,0
ChiTronix Components,4,2008-04,6,06APR2008:00:00:00,236,21.07,Pass,0
ChiTronix Components,4,2008-04,7,07APR2008:00:00:00,178,16.90,Pass,0
ChiTronix Components,4,2008-04,8,08APR2008:00:00:00,208,17.86,Pass,0
ChiTronix Components,4,2008-04,9,09APR2008:00:00:00,188,17.05,Pass,0
ChiTronix Components,4,2008-04,10,10APR2008:00:00:00,193,17.83,Pass,0
ChiTronix Components,4,2008-04,11,11APR2008:00:00:00,223,20.11,Pass,0
ChiTronix Components,4,2008-04,12,12APR2008:00:00:00,217,18.66,Pass,0
ChiTronix Components,4,2008-04,13,13APR2008:00:00:00,196,19.40,Pass,0
ChiTronix Components,4,2008-04,14,14APR2008:00:00:00,191,14.49,Pass,0
ChiTronix Components,4,2008-04,15,15APR2008:00:00:00,185,16.19,Pass,0
ChiTronix Components,4,2008-04,16,16APR2008:00:00:00,220,19.48,Pass,0
ChiTronix Components,4,2008-04,17,17APR2008:00:00:00,188,18.14,Pass,0
ChiTronix Components,4,2008-04,18,18APR2008:00:00:00,188,17.20,Pass,0
ChiTronix Components,4,2008-04,19,19APR2008:00:00:00,198,16.72,Pass,0
ChiTronix Components,4,2008-04,20,20APR2008:00:00:00,202,19.17,Pass,0
ChiTronix Components,4,2008-04,21,21APR2008:00:00:00,195,17.90,Pass,0
ChiTronix Components,4,2008-04,22,22APR2008:00:00:00,187,16.85,Pass,0
ChiTronix Components,4,2008-04,23,23APR2008:00:00:00,188,14.49,Pass,0
ChiTronix Components,5,2008-05,1,01MAY2008:00:00:00,196,15.81,Pass,0
ChiTronix Components,5,2008-05,2,02MAY2008:00:00:00,194,17.25,Pass,0
ChiTronix Components,5,2008-05,3,03MAY2008:00:00:00,191,19.29,Pass,0
ChiTronix Components,5,2008-05,4,04MAY2008:00:00:00,203,20.13,Pass,0
ChiTronix Components,5,2008-05,5,05MAY2008:00:00:00,217,19.26,Pass,0
ChiTronix Components,5,2008-05,6,06MAY2008:00:00:00,194,18.41,Pass,0
ChiTronix Components,5,2008-05,7,07MAY2008:00:00:00,176,15.44,Pass,0
ChiTronix Components,5,2008-05,8,08MAY2008:00:00:00,205,18.71,Pass,0
ChiTronix Components,5,2008-05,9,09MAY2008:00:00:00,201,17.53,Pass,0
ChiTronix Components,5,2008-05,10,10MAY2008:00:00:00,189,17.82,Pass,0
ChiTronix Components,5,2008-05,11,11MAY2008:00:00:00,215,20.02,Pass,0
ChiTronix Components,5,2008-05,12,12MAY2008:00:00:00,191,17.22,Pass,0
ChiTronix Components,5,2008-05,13,13MAY2008:00:00:00,221,21.78,Pass,0
ChiTronix Components,5,2008-05,14,14MAY2008:00:00:00,222,20.89,Pass,0
ChiTronix Components,5,2008-05,15,15MAY2008:00:00:00,180,19.01,Pass,0
ChiTronix Components,5,2008-05,16,16MAY2008:00:00:00,191,17.37,Pass,0
ChiTronix Components,5,2008-05,17,17MAY2008:00:00:00,201,16.81,Pass,0
ChiTronix Components,5,2008-05,18,18MAY2008:00:00:00,192,17.08,Pass,0
ChiTronix Components,5,2008-05,19,19MAY2008:00:00:00,213,19.29,Pass,0
ChiTronix Components,5,2008-05,20,20MAY2008:00:00:00,245,22.59,Fail Hi,1
ChiTronix Components,5,2008-05,21,21MAY2008:00:00:00,221,20.11,Pass,0
ChiTronix Components,5,2008-05,22,22MAY2008:00:00:00,191,16.71,Pass,0
ChiTronix Components,5,2008-05,23,23MAY2008:00:00:00,204,16.47,Pass,0
ChiTronix Components,6,2008-06,1,01JUN2008:00:00:00,213,20.44,Pass,0
ChiTronix Components,6,2008-06,2,02JUN2008:00:00:00,177,14.68,Pass,0
ChiTronix Components,6,2008-06,3,03JUN2008:00:00:00,188,14.71,Pass,0
ChiTronix Components,6,2008-06,4,04JUN2008:00:00:00,197,16.32,Pass,0
ChiTronix Components,6,2008-06,5,05JUN2008:00:00:00,182,16.16,Pass,0
ChiTronix Components,6,2008-06,6,06JUN2008:00:00:00,183,16.58,Pass,0
ChiTronix Components,6,2008-06,7,07JUN2008:00:00:00,216,19.55,Pass,0
ChiTronix Components,6,2008-06,8,08JUN2008:00:00:00,215,19.27,Pass,0
ChiTronix Components,6,2008-06,9,09JUN2008:00:00:00,233,21.39,Pass,0
ChiTronix Components,6,2008-06,10,10JUN2008:00:00:00,212,18.71,Pass,0
ChiTronix Components,6,2008-06,11,11JUN2008:00:00:00,196,18.67,Pass,0
ChiTronix Components,6,2008-06,12,12JUN2008:00:00:00,186,17.43,Pass,0
ChiTronix Components,6,2008-06,13,13JUN2008:00:00:00,214,20.43,Pass,0
ChiTronix Components,6,2008-06,14,14JUN2008:00:00:00,201,19.88,Pass,0
ChiTronix Components,6,2008-06,15,15JUN2008:00:00:00,186,18.09,Pass,0
ChiTronix Components,6,2008-06,16,16JUN2008:00:00:00,215,19.36,Pass,0
ChiTronix Components,6,2008-06,17,17JUN2008:00:00:00,203,19.30,Pass,0
ChiTronix Components,6,2008-06,18,18JUN2008:00:00:00,207,17.79,Pass,0
ChiTronix Components,6,2008-06,19,19JUN2008:00:00:00,222,20.62,Pass,0
ChiTronix Components,6,2008-06,20,20JUN2008:00:00:00,210,18.71,Pass,0
ChiTronix Components,6,2008-06,21,21JUN2008:00:00:00,182,15.96,Pass,0
ChiTronix Components,6,2008-06,22,22JUN2008:00:00:00,200,17.13,Pass,0
ChiTronix Components,6,2008-06,23,23JUN2008:00:00:00,198,16.56,Pass,0
ChiTronix Components,6,2008-06,24,24JUN2008:00:00:00,188,16.68,Pass,0
ChiTronix Components,6,2008-06,25,25JUN2008:00:00:00,182,14.96,Pass,0
ChiTronix Components,6,2008-06,26,26JUN2008:00:00:00,209,18.47,Pass,0
ChiTronix Components,7,2008-07,1,01JUL2008:00:00:00,209,17.86,Pass,0
ChiTronix Components,7,2008-07,2,02JUL2008:00:00:00,189,18.25,Pass,0
ChiTronix Components,7,2008-07,3,03JUL2008:00:00:00,212,18.74,Pass,0
ChiTronix Components,7,2008-07,4,04JUL2008:00:00:00,221,20.03,Pass,0
ChiTronix Components,7,2008-07,5,05JUL2008:00:00:00,218,20.46,Pass,0
ChiTronix Components,7,2008-07,6,06JUL2008:00:00:00,222,19.69,Pass,0
ChiTronix Components,7,2008-07,7,07JUL2008:00:00:00,181,17.91,Pass,0
ChiTronix Components,7,2008-07,8,08JUL2008:00:00:00,181,17.11,Pass,0
ChiTronix Components,7,2008-07,9,09JUL2008:00:00:00,239,20.00,Pass,0
ChiTronix Components,7,2008-07,10,10JUL2008:00:00:00,183,17.79,Pass,0
ChiTronix Components,7,2008-07,11,11JUL2008:00:00:00,191,17.81,Pass,0
ChiTronix Components,7,2008-07,12,12JUL2008:00:00:00,228,18.69,Pass,0
ChiTronix Components,7,2008-07,13,13JUL2008:00:00:00,178,16.63,Pass,0
ChiTronix Components,7,2008-07,14,14JUL2008:00:00:00,171,15.60,Pass,0
ChiTronix Components,7,2008-07,15,15JUL2008:00:00:00,173,15.50,Pass,0
ChiTronix Components,7,2008-07,16,16JUL2008:00:00:00,171,14.32,Pass,0
ChiTronix Components,7,2008-07,17,17JUL2008:00:00:00,154,12.14,Fail Low,1
ChiTronix Components,7,2008-07,18,18JUL2008:00:00:00,158,14.10,Pass,0
ChiTronix Components,7,2008-07,19,19JUL2008:00:00:00,215,19.42,Pass,0
ChiTronix Components,7,2008-07,20,20JUL2008:00:00:00,201,16.58,Pass,0
ChiTronix Components,7,2008-07,21,21JUL2008:00:00:00,205,19.05,Pass,0
ChiTronix Components,7,2008-07,22,22JUL2008:00:00:00,208,18.63,Pass,0
ChiTronix Components,7,2008-07,23,23JUL2008:00:00:00,229,20.78,Pass,0
ChiTronix Components,7,2008-07,24,24JUL2008:00:00:00,142,13.96,Pass,0
ChiTronix Components,7,2008-07,25,25JUL2008:00:00:00,188,15.81,Pass,0
ChiTronix Components,7,2008-07,26,26JUL2008:00:00:00,175,15.55,Pass,0
ChiTronix Components,8,2008-08,1,01AUG2008:00:00:00,177,15.29,Pass,0
ChiTronix Components,8,2008-08,2,02AUG2008:00:00:00,146,12.19,Fail Low,1
ChiTronix Components,8,2008-08,3,03AUG2008:00:00:00,199,17.04,Pass,0
ChiTronix Components,8,2008-08,4,04AUG2008:00:00:00,213,21.17,Pass,0
ChiTronix Components,8,2008-08,5,05AUG2008:00:00:00,192,16.90,Pass,0
ChiTronix Components,8,2008-08,6,06AUG2008:00:00:00,209,19.10,Pass,0
ChiTronix Components,8,2008-08,7,07AUG2008:00:00:00,194,17.17,Pass,0
ChiTronix Components,8,2008-08,8,08AUG2008:00:00:00,194,18.14,Pass,0
ChiTronix Components,8,2008-08,9,09AUG2008:00:00:00,181,13.64,Pass,0
ChiTronix Components,8,2008-08,10,10AUG2008:00:00:00,168,15.76,Pass,0
ChiTronix Components,8,2008-08,11,11AUG2008:00:00:00,192,17.65,Pass,0
ChiTronix Components,8,2008-08,12,12AUG2008:00:00:00,191,17.30,Pass,0
ChiTronix Components,8,2008-08,13,13AUG2008:00:00:00,224,19.86,Pass,0
ChiTronix Components,8,2008-08,14,14AUG2008:00:00:00,199,16.38,Pass,0
ChiTronix Components,8,2008-08,15,15AUG2008:00:00:00,186,17.66,Pass,0
ChiTronix Components,8,2008-08,16,16AUG2008:00:00:00,179,16.03,Pass,0
ChiTronix Components,8,2008-08,17,17AUG2008:00:00:00,207,19.27,Pass,0
ChiTronix Components,8,2008-08,18,18AUG2008:00:00:00,195,17.04,Pass,0
ChiTronix Components,8,2008-08,19,19AUG2008:00:00:00,186,15.84,Pass,0
ChiTronix Components,8,2008-08,20,20AUG2008:00:00:00,227,20.07,Pass,0
ChiTronix Components,8,2008-08,21,21AUG2008:00:00:00,222,20.22,Pass,0
ChiTronix Components,8,2008-08,22,22AUG2008:00:00:00,195,18.54,Pass,0
ChiTronix Components,8,2008-08,23,23AUG2008:00:00:00,209,19.53,Pass,0
ChiTronix Components,8,2008-08,24,24AUG2008:00:00:00,190,18.03,Pass,0
ChiTronix Components,8,2008-08,25,25AUG2008:00:00:00,186,18.73,Pass,0
ChiTronix Components,8,2008-08,26,26AUG2008:00:00:00,191,17.25,Pass,0
ChiTronix Components,9,2008-09,1,01SEP2008:00:00:00,229,19.83,Pass,0
ChiTronix Components,9,2008-09,2,02SEP2008:00:00:00,201,19.86,Pass,0
ChiTronix Components,9,2008-09,3,03SEP2008:00:00:00,201,17.05,Pass,0
ChiTronix Components,9,2008-09,4,04SEP2008:00:00:00,206,17.08,Pass,0
ChiTronix Components,9,2008-09,5,05SEP2008:00:00:00,228,21.21,Pass,0
ChiTronix Components,9,2008-09,6,06SEP2008:00:00:00,185,14.49,Pass,0
ChiTronix Components,9,2008-09,7,07SEP2008:00:00:00,214,20.09,Pass,0
ChiTronix Components,9,2008-09,8,08SEP2008:00:00:00,197,16.51,Pass,0
ChiTronix Components,9,2008-09,9,09SEP2008:00:00:00,210,19.08,Pass,0
ChiTronix Components,9,2008-09,10,10SEP2008:00:00:00,196,16.74,Pass,0
ChiTronix Components,9,2008-09,11,11SEP2008:00:00:00,210,20.72,Pass,0
ChiTronix Components,9,2008-09,12,12SEP2008:00:00:00,200,17.93,Pass,0
ChiTronix Components,9,2008-09,13,13SEP2008:00:00:00,191,18.27,Pass,0
ChiTronix Components,9,2008-09,14,14SEP2008:00:00:00,216,17.48,Pass,0
ChiTronix Components,9,2008-09,15,15SEP2008:00:00:00,195,18.22,Pass,0
ChiTronix Components,9,2008-09,16,16SEP2008:00:00:00,185,16.11,Pass,0
ChiTronix Components,9,2008-09,17,17SEP2008:00:00:00,204,16.95,Pass,0
ChiTronix Components,9,2008-09,18,18SEP2008:00:00:00,182,16.41,Pass,0
ChiTronix Components,9,2008-09,19,19SEP2008:00:00:00,189,16.41,Pass,0
ChiTronix Components,9,2008-09,20,20SEP2008:00:00:00,209,18.40,Pass,0
ChiTronix Components,9,2008-09,21,21SEP2008:00:00:00,174,17.14,Pass,0
ChiTronix Components,9,2008-09,22,22SEP2008:00:00:00,211,18.63,Pass,0
ChiTronix Components,9,2008-09,23,23SEP2008:00:00:00,174,15.52,Pass,0
ChiTronix Components,9,2008-09,24,24SEP2008:00:00:00,183,16.20,Pass,0
ChiTronix Components,9,2008-09,25,25SEP2008:00:00:00,212,20.32,Pass,0
ChiTronix Components,9,2008-09,26,26SEP2008:00:00:00,214,18.76,Pass,0
ChiTronix Components,9,2008-09,27,27SEP2008:00:00:00,197,18.94,Pass,0
ChiTronix Components,9,2008-09,28,28SEP2008:00:00:00,172,13.76,Pass,0
ChiTronix Components,9,2008-09,29,29SEP2008:00:00:00,211,19.92,Pass,0
ChiTronix Components,10,2008-10,1,01OCT2008:00:00:00,183,17.85,Pass,0
ChiTronix Components,10,2008-10,2,02OCT2008:00:00:00,188,18.10,Pass,0
ChiTronix Components,10,2008-10,3,03OCT2008:00:00:00,191,17.02,Pass,0
ChiTronix Components,10,2008-10,4,04OCT2008:00:00:00,194,17.11,Pass,0
ChiTronix Components,10,2008-10,5,05OCT2008:00:00:00,224,18.45,Pass,0
ChiTronix Components,10,2008-10,6,06OCT2008:00:00:00,169,14.55,Pass,0
ChiTronix Components,10,2008-10,7,07OCT2008:00:00:00,205,19.17,Pass,0
ChiTronix Components,10,2008-10,8,08OCT2008:00:00:00,184,18.31,Pass,0
ChiTronix Components,10,2008-10,9,09OCT2008:00:00:00,179,17.55,Pass,0
ChiTronix Components,10,2008-10,10,10OCT2008:00:00:00,199,17.27,Pass,0
ChiTronix Components,10,2008-10,11,11OCT2008:00:00:00,216,21.27,Pass,0
ChiTronix Components,10,2008-10,12,12OCT2008:00:00:00,181,15.74,Pass,0
ChiTronix Components,10,2008-10,13,13OCT2008:00:00:00,209,18.31,Pass,0
ChiTronix Components,10,2008-10,14,14OCT2008:00:00:00,210,18.39,Pass,0
ChiTronix Components,10,2008-10,15,15OCT2008:00:00:00,186,17.99,Pass,0
ChiTronix Components,10,2008-10,16,16OCT2008:00:00:00,169,16.17,Pass,0
ChiTronix Components,10,2008-10,17,17OCT2008:00:00:00,212,19.10,Pass,0
ChiTronix Components,10,2008-10,18,18OCT2008:00:00:00,223,20.73,Pass,0
ChiTronix Components,10,2008-10,19,19OCT2008:00:00:00,202,19.10,Pass,0
ChiTronix Components,10,2008-10,20,20OCT2008:00:00:00,167,15.25,Pass,0
ChiTronix Components,10,2008-10,21,21OCT2008:00:00:00,180,16.51,Pass,0
ChiTronix Components,10,2008-10,22,22OCT2008:00:00:00,197,17.86,Pass,0
ChiTronix Components,10,2008-10,23,23OCT2008:00:00:00,248,21.83,Pass,0
ChiTronix Components,10,2008-10,24,24OCT2008:00:00:00,205,19.39,Pass,0
ChiTronix Components,10,2008-10,25,25OCT2008:00:00:00,227,21.53,Pass,0
ChiTronix Components,10,2008-10,26,26OCT2008:00:00:00,193,17.55,Pass,0
ChiTronix Components,10,2008-10,27,27OCT2008:00:00:00,212,20.02,Pass,0
ChiTronix Components,10,2008-10,28,28OCT2008:00:00:00,189,18.25,Pass,0
ChiTronix Components,10,2008-10,29,29OCT2008:00:00:00,175,16.77,Pass,0
ChiTronix Components,11,2008-11,1,01NOV2008:00:00:00,233,21.60,Pass,0
ChiTronix Components,11,2008-11,2,02NOV2008:00:00:00,201,18.70,Pass,0
ChiTronix Components,11,2008-11,3,03NOV2008:00:00:00,169,12.29,Fail Low,1
ChiTronix Components,11,2008-11,4,04NOV2008:00:00:00,175,12.85,Pass,0
ChiTronix Components,11,2008-11,5,05NOV2008:00:00:00,220,19.63,Pass,0
ChiTronix Components,11,2008-11,6,06NOV2008:00:00:00,222,19.22,Pass,0
ChiTronix Components,11,2008-11,7,07NOV2008:00:00:00,184,16.12,Pass,0
ChiTronix Components,11,2008-11,8,08NOV2008:00:00:00,203,18.18,Pass,0
ChiTronix Components,11,2008-11,9,09NOV2008:00:00:00,228,19.63,Pass,0
ChiTronix Components,11,2008-11,10,10NOV2008:00:00:00,201,17.12,Pass,0
ChiTronix Components,11,2008-11,11,11NOV2008:00:00:00,194,17.06,Pass,0
ChiTronix Components,11,2008-11,12,12NOV2008:00:00:00,215,19.43,Pass,0
ChiTronix Components,11,2008-11,13,13NOV2008:00:00:00,212,19.84,Pass,0
ChiTronix Components,11,2008-11,14,14NOV2008:00:00:00,203,18.73,Pass,0
ChiTronix Components,11,2008-11,15,15NOV2008:00:00:00,184,16.47,Pass,0
ChiTronix Components,11,2008-11,16,16NOV2008:00:00:00,200,19.09,Pass,0
ChiTronix Components,11,2008-11,17,17NOV2008:00:00:00,204,17.22,Pass,0
ChiTronix Components,11,2008-11,18,18NOV2008:00:00:00,205,17.34,Pass,0
ChiTronix Components,11,2008-11,19,19NOV2008:00:00:00,177,15.68,Pass,0
ChiTronix Components,11,2008-11,20,20NOV2008:00:00:00,230,20.06,Pass,0
ChiTronix Components,11,2008-11,21,21NOV2008:00:00:00,212,19.13,Pass,0
ChiTronix Components,11,2008-11,22,22NOV2008:00:00:00,200,17.07,Pass,0
ChiTronix Components,11,2008-11,23,23NOV2008:00:00:00,242,22.13,Pass,0
ChiTronix Components,11,2008-11,24,24NOV2008:00:00:00,222,20.69,Pass,0
ChiTronix Components,11,2008-11,25,25NOV2008:00:00:00,185,17.74,Pass,0
ChiTronix Components,11,2008-11,26,26NOV2008:00:00:00,211,19.81,Pass,0
ChiTronix Components,11,2008-11,27,27NOV2008:00:00:00,174,16.85,Pass,0
ChiTronix Components,11,2008-11,28,28NOV2008:00:00:00,201,18.41,Pass,0
ChiTronix Components,11,2008-11,29,29NOV2008:00:00:00,198,17.01,Pass,0
ChiTronix Components,12,2008-12,1,01DEC2008:00:00:00,183,17.34,Pass,0
ChiTronix Components,12,2008-12,2,02DEC2008:00:00:00,206,18.78,Pass,0
ChiTronix Components,12,2008-12,3,03DEC2008:00:00:00,196,18.65,Pass,0
ChiTronix Components,12,2008-12,4,04DEC2008:00:00:00,215,19.03,Pass,0
ChiTronix Components,12,2008-12,5,05DEC2008:00:00:00,177,15.56,Pass,0
ChiTronix Components,12,2008-12,6,06DEC2008:00:00:00,195,16.41,Pass,0
ChiTronix Components,12,2008-12,7,07DEC2008:00:00:00,190,17.31,Pass,0
ChiTronix Components,12,2008-12,8,08DEC2008:00:00:00,167,12.84,Pass,0
ChiTronix Components,12,2008-12,9,09DEC2008:00:00:00,211,17.54,Pass,0
ChiTronix Components,12,2008-12,10,10DEC2008:00:00:00,204,18.97,Pass,0
ChiTronix Components,12,2008-12,11,11DEC2008:00:00:00,212,17.59,Pass,0
ChiTronix Components,12,2008-12,12,12DEC2008:00:00:00,174,14.93,Pass,0
ChiTronix Components,12,2008-12,13,13DEC2008:00:00:00,205,17.49,Pass,0
ChiTronix Components,12,2008-12,14,14DEC2008:00:00:00,196,17.81,Pass,0
ChiTronix Components,12,2008-12,15,15DEC2008:00:00:00,191,18.58,Pass,0
ChiTronix Components,12,2008-12,16,16DEC2008:00:00:00,213,20.20,Pass,0
ChiTronix Components,12,2008-12,17,17DEC2008:00:00:00,209,20.11,Pass,0
ChiTronix Components,12,2008-12,18,18DEC2008:00:00:00,159,16.55,Pass,0
ChiTronix Components,12,2008-12,19,19DEC2008:00:00:00,213,18.55,Pass,0
ChiTronix Components,12,2008-12,20,20DEC2008:00:00:00,209,18.71,Pass,0
ChiTronix Components,12,2008-12,21,21DEC2008:00:00:00,234,20.48,Pass,0
ChiTronix Components,12,2008-12,22,22DEC2008:00:00:00,204,17.44,Pass,0
ChiTronix Components,12,2008-12,23,23DEC2008:00:00:00,201,19.06,Pass,0
ChiTronix Components,12,2008-12,24,24DEC2008:00:00:00,174,14.91,Pass,0
ChiTronix Components,12,2008-12,25,25DEC2008:00:00:00,208,18.33,Pass,0
ChiTronix Components,12,2008-12,26,26DEC2008:00:00:00,163,14.33,Pass,0
ChiTronix Components,12,2008-12,27,27DEC2008:00:00:00,182,18.12,Pass,0
ChiTronix Components,12,2008-12,28,28DEC2008:00:00:00,216,20.61,Pass,0
ChiTronix Components,12,2008-12,29,29DEC2008:00:00:00,206,17.58,Pass,0
ChiTronix Components,12,2008-12,30,30DEC2008:00:00:00,213,20.32,Pass,0
ChiTronix Components,12,2008-12,31,30DEC2008:00:00:00,185,16.64,Pass,0
ChiTronix Components,12,2008-12,32,30DEC2008:00:00:00,196,17.58,Pass,0
Duality Logic,1,2008-01,1,01JAN2008:00:00:00,225,17.39,Pass,0
Duality Logic,1,2008-01,2,02JAN2008:00:00:00,175,14.27,Pass,0
Duality Logic,1,2008-01,3,03JAN2008:00:00:00,217,16.64,Pass,0
Duality Logic,1,2008-01,4,04JAN2008:00:00:00,204,14.18,Pass,0
Duality Logic,1,2008-01,5,05JAN2008:00:00:00,185,13.39,Pass,0
Duality Logic,1,2008-01,6,06JAN2008:00:00:00,206,16.02,Pass,0
Duality Logic,1,2008-01,7,07JAN2008:00:00:00,201,17.41,Pass,0
Duality Logic,1,2008-01,8,08JAN2008:00:00:00,243,17.73,Pass,0
Duality Logic,1,2008-01,9,09JAN2008:00:00:00,215,15.78,Pass,0
Duality Logic,1,2008-01,10,10JAN2008:00:00:00,245,19.19,Pass,0
Duality Logic,1,2008-01,11,11JAN2008:00:00:00,178,13.48,Pass,0
Duality Logic,1,2008-01,12,12JAN2008:00:00:00,197,17.87,Pass,0
Duality Logic,1,2008-01,13,13JAN2008:00:00:00,212,18.55,Pass,0
Duality Logic,1,2008-01,14,14JAN2008:00:00:00,220,19.00,Pass,0
Duality Logic,1,2008-01,15,15JAN2008:00:00:00,217,16.90,Pass,0
Duality Logic,1,2008-01,16,16JAN2008:00:00:00,231,18.65,Pass,0
Duality Logic,1,2008-01,17,17JAN2008:00:00:00,208,17.63,Pass,0
Duality Logic,1,2008-01,18,18JAN2008:00:00:00,241,17.70,Pass,0
Duality Logic,1,2008-01,19,19JAN2008:00:00:00,232,20.46,Pass,0
